conversation_id,id,created_at,text,author_id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
1499382753242107906,1499382753242107906,2022-03-03T13:54:40.000Z,"RT @podatki_zdrowie: Elena Osipova przeżyła blokadę Leningradu przez Niemców,teraz jest aresztowana przez rosyjską policję za protestowanie…",1497614061940490243,14,0,0,0
1499382717259161606,1499382717259161606,2022-03-03T13:54:31.000Z,"RT @Korsak_Daria: ‼️Aleksander Konanykhin, rosyjski biznesmen mieszkający w Stanach Zjednoczonych, przyznał 1 milion dolarów za głowę Putin…",1370408427650961411,240,0,0,0
1499382342372241411,1499382342372241411,2022-03-03T13:53:02.000Z,RT @xfifacz: +18 Drastyczne #UkraineRussianWar #StopPutinNOW #StopWarInUkraine #Putin https://t.co/aAsgC6ill1,1235213402,6,0,0,0
1499383635232927746,1499383635232927746,2022-03-03T13:58:10.000Z,"RT @a_hrechorowicz: I wychodzi On, i kreuje się na zbawcę Polski, ba...jedności europejskiej. Taki mądry, taki koncyliacyjny, no...oczywiśc…",1402534149278384130,108,0,0,0
1499379318123806724,1499379318123806724,2022-03-03T13:41:01.000Z,"RT @tvp_info: To Tusk mówił, że nie ma przeciwwskazań, by Lotos sprzedać Rosjanom – przypomniał prezes Orlenu Daniel Obajtek
#wieszwięcej @…",517842684,22,0,0,0
1499356951288950785,1499356951288950785,2022-03-03T12:12:08.000Z,"RT @Macko_director: #GÓRLPO @PZPNPuchar
@Podolski10  nie ma co się w ku....ć 😂👍
Trzymaj się Poldi 🤝 https://t.co/snI4HKN2io",979326842292330497,33,0,0,0
1499304084012249090,1499304084012249090,2022-03-03T08:42:04.000Z,"Statystyki meczu #GORLPO w Pucharze Polski:
-  Posiadanie piłki Lech 53% Górnik 47%
- strzały: 11-11
- Strzały celne; Lech 5, Górnik 2
- Strzały zablokowane: Górnik 5, Lech 2
- strzały niecelne 4-4
- Ataki Górnik 73, Lech 88
- groźne Ataki: Lech 50, Górnik 39
- Kartki 1-1
1/2",921998502498009088,0,3,14,0
1499294891574243328,1499294891574243328,2022-03-03T08:05:32.000Z,RT @adam_dworak: Od osoby na wyjeździe #GÓRLPO. WSTYD. https://t.co/N4tj9NbLWH,3005320443,6,0,0,0
1499177993129893892,1499177993129893892,2022-03-03T00:21:01.000Z,"RT @LechPoznan: 90'+3 🏁 Zadania na dziś wykonane, meldujemy się w półfinale @PZPNPuchar 👍🏼
_____
#KOLE100RZ | #GÓRLPO 0:2 https://t.co/Q8sH…",1282419927039774720,21,0,0,0
1499152757311389700,1499152757311389700,2022-03-02T22:40:44.000Z,Po meczu...💪 #GORLPO https://t.co/pR7Y7CJJb4,1366503280499716100,0,0,0,0
1499152656992022528,1499152656992022528,2022-03-02T22:40:20.000Z,"Lech? Od dawna polska drużyna nie grała tak w piłkę w lidze. Wiecie kogo mi przypomina? Legię z Prijoviciem, Nikoliciem, tę paczkę, która awansowała do Ligi Mistrzów #GÓRLPO 

https://t.co/nWobqQ0aWJ",85554777,0,0,3,0
1499150872865091584,1499150872865091584,2022-03-02T22:33:15.000Z,Skóraś i Marchewa po meczu #GORLPO Tylko bez teorii żadnych 😉 Pewnie podeszli z jakimś swoim ziomkiem pogadać 👍 https://t.co/xJ11j4wmsC,1366503280499716100,0,1,0,0
1498051473913090051,1498227429550309378,2022-02-28T09:23:49.000Z,@Sylvinha1 @Arek_ZdWola @AndrzejDuda @ZelenskyyUa Co #NARÓD POLSKI ma czynić? 1. Natychmiast wydalić z #OJCZYZNY wszystkich #Niemców i #Sowietów i #ŻydoKomuna #WszyscyWon. 2. NA WCZORAJ wdrożyć USTAWA #ANTYTERROR. 3. Natychmiast wykonać #lustracja #funkcjonariusz i wszystkich kierowników. Czy przodek od 1900 r. nie był #zdrajca https://t.co/R8im0lpCVe,965177209966260224,0,0,0,0
1498051473913090051,1498226425031180289,2022-02-28T09:19:50.000Z,@AndrzejDuda @ZelenskyyUa Co #NARÓD POLSKI ma czynić? 1. Natychmiast wydalić z #OJCZYZNY wszystkich #Niemców i #Sowietów i #ŻydoKomuna #WszyscyWon. 2. NA WCZORAJ wdrożyć USTAWA #ANTYTERROR. 3. Natychmiast wykonać #lustracja #funkcjonariusz i wszystkich kierowników. Czy przodek od 1900 r. nie był #zdrajca https://t.co/v24y27bVJ9,965177209966260224,0,0,0,0
1498224799067344902,1498224799067344902,2022-02-28T09:13:22.000Z,Co #NARÓD POLSKI ma czynić? 1. Natychmiast wydalić z #OJCZYZNY wszystkich #Niemców i #Sowietów i #ŻydoKomuna #WszyscyWon. 2. NA WCZORAJ wdrożyć USTAWA #ANTYTERROR. 3. Natychmiast wykonać #lustracja #funkcjonariusz i wszystkich kierowników. Czy przodek od 1900 r. nie był #zdrajca https://t.co/zVKPU8nQDF,965177209966260224,0,0,0,0
