created_at,conversation_id,text,author_id,id,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count
2022-02-13T09:29:28.000Z,1492426208436490240,"@Rafal_Plonsk @RobertWinnicki W naturze jest tak, że aby coś wyjąć, trzeba najpierw wsadzić.",1454719180406657027,1492793032869093378,0,1,0,0
2022-02-13T09:28:36.000Z,1492792815608377345,RT @HanterPoen: @RobertWinnicki @donaldtuskEPP Brawo Panie Winnicki tylko dodać trzeba niech wraca tusk do swojej rodziny do Niemiec bo tam…,1433509113833603081,1492792815608377345,2,0,0,0
2022-02-13T09:27:11.000Z,1492792456643072000,@Leszczyna @M_K_Blonska @KwiatkowskiRob https://t.co/1cmjasU1gE,1230565685673132032,1492792456643072000,0,0,0,0
2022-02-13T09:26:24.000Z,1492426208436490240,@RobertWinnicki @krzysztofbosak 30 srebrnikow z judaszem w pakiecie,739925909420036096,1492792261930856451,0,0,0,0
2022-02-13T09:26:09.000Z,1492639450802933760,"@RobertWinnicki Szkoda,że nie byłeś taki demokratyczny przy wyborze święczkowskiego https://t.co/IxMt100Nub",1166649152,1492792199976992768,0,0,0,0
2022-02-13T09:25:29.000Z,1492426208436490240,@tom_wiejski @RobertWinnicki To o czym Pan pisze nie ma nic wspólnego z tym że to dług.,1307418477364416512,1492792029289619463,0,1,0,0
2022-02-13T09:24:06.000Z,1492426208436490240,"@LordPanicz1 @annamaria7610 @RobertWinnicki @donaldtuskEPP Czy order Lenina, żelazny krzyż..Tuskowi się należy..bo wy pisowskie dupy nie potraficie..",1433509113833603081,1492791683909570562,0,0,1,0
2022-02-13T09:23:41.000Z,1492639450802933760,"@RobertWinnicki jeżeli macie wystarczającą liczbę głosów, żeby Banasia uchronić, to macie też wystarczającą liczbę, aby w jego miejsce powołać niezależnego, pożądnego człowieka.",1360200851365756928,1492791576866795522,0,0,0,0
2022-02-13T09:22:25.000Z,1492136573751681025,"@elmoro231986 @ukasz86983363 @Roman440440 @RPDPawlak @nowePSL @jflibicki @__Lewica @LeszekMiller @AdamBielan @D_Sosnierz @SolidarnaPL @ZiobroPL @mwojcik_ @MS_GOV_PL @OzdobaJacek @MariuszGosek @szczudlo_a @ECHR_CEDH @EwaKopacz @donaldtusk @RTraktowanie @MorawieckiM @prezydentpl @AndrzejDuda @RobertBiedron @MRiPS_GOV_PL @Pawel_Skutecki @EUauditors @Europarl_PL @EUinPL @COE_Execution @KochanMagdalena Posłowie Konfederacji jak @D_Sosnierz , @GrzegorzBraun, @RobertWinnicki, @ArturDziambor  jak najbardziej wspierają Nasze działania na rzecz praw dzieci do obojga rodziców. Przydatne byłoby jednak faktycznie jeszcze jednoznaczne poparcie Naszych działań, jako całościowego ruchu.",1415048538820694023,1492791260259758084,1,0,1,0
2022-02-13T09:22:10.000Z,1492426208436490240,@RobertWinnicki @donaldtuskEPP Możesz mówić w swoim imieniu ?,3123290124,1492791195893854208,0,0,0,0
2022-02-13T09:21:47.000Z,1492791098854490112,"RT @KONFEDERACJA_: .@RobertWinnicki: Tusk z paletami euro nie powie wam, że to dług, który w naszym imieniu Bruksela zaciąga, który będziem…",1474110085542592515,1492791098854490112,73,0,0,0
2022-02-13T09:21:14.000Z,1492426208436490240,@PrezesFabryki_ @RobertWinnicki I weszpolaku.,1288145035876327425,1492790962325708800,0,0,0,0
2022-02-13T09:20:49.000Z,1492790855169626112,RT @annamaria7610: @RobertWinnicki @donaldtuskEPP Zabieraj swoich nazioli @RobertWinnicki i wracaj do swojego rosyjskiego pana. Robota dobr…,1433509113833603081,1492790855169626112,1,0,0,0
2022-02-13T09:20:05.000Z,1492426208436490240,"@annamaria7610 @RobertWinnicki @donaldtuskEPP Czy order Lenina, czy żelazny krzyż..Tuskowi się należy..bo wy Pisowskie dupy nie potraficie!",1433509113833603081,1492790672063143938,0,0,1,0
